GC_Content	AT_Content	Sequence_Length	Num_A	Num_T	Num_C	Num_G	kmer_3_freq	Mutation_Flag	Class_Label	Disease_Risk	GC_AT_Sum	Risk_Level_Num
50.0	50.0	100	22	28	19	31	0.986	0	Bacteria	High	100.0	3
45.0	55.0	100	27	28	22	23	0.486	1	Virus	Medium	100.0	2
51.0	49.0	100	26	23	30	21	0.367	1	Bacteria	Low	100.0	1
55.0	45.0	100	28	17	23	32	0.404	0	Human	Medium	100.0	2
46.0	54.0	100	24	30	25	21	0.818	0	Human	High	100.0	3
45.0	55.0	100	29	26	26	19	0.495	1	Plant	Low	100.0	1
62.0	38.0	100	12	26	35	27	0.57	1	Bacteria	High	100.0	3
46.0	54.0	100	26	28	23	23	0.42	0	Virus	Low	100.0	1
42.0	58.0	100	32	26	19	23	0.935	1	Human	Low	100.0	1
59.0	41.0	100	18	23	31	28	0.606	1	Bacteria	Low	100.0	1
49.0	51.0	100	18	33	22	27	0.178	0	Virus	Medium	100.0	2
44.0	56.0	100	30	26	26	18	0.331	0	Bacteria	Medium	100.0	2
50.0	50.0	100	22	28	26	24	0.128	0	Bacteria	Medium	100.0	2
49.0	51.0	100	27	24	22	27	0.265	1	Plant	Medium	100.0	2
50.0	50.0	100	25	25	24	26	0.766	0	Human	Medium	100.0	2
52.0	48.0	100	26	22	24	28	0.524	0	Virus	High	100.0	3
62.0	38.0	100	22	16	29	33	0.885	0	Virus	Medium	100.0	2
45.0	55.0	100	28	27	25	20	0.636	0	Bacteria	High	100.0	3
54.0	46.0	100	25	21	17	37	0.839	1	Virus	Low	100.0	1
49.0	51.0	100	23	28	21	28	0.533	0	Virus	Medium	100.0	2
46.0	54.0	100	29	25	23	23	0.864	1	Plant	Low	100.0	1
43.0	57.0	100	30	27	25	18	0.953	1	Bacteria	Low	100.0	1
58.0	42.0	100	21	21	33	25	0.942	1	Human	Medium	100.0	2
45.0	55.0	100	23	32	22	23	0.925	0	Plant	Low	100.0	1
52.0	48.0	100	26	22	21	31	0.355	1	Bacteria	High	100.0	3
52.0	48.0	100	24	24	23	29	0.291	0	Bacteria	High	100.0	3
52.0	48.0	100	23	25	24	28	0.38	1	Human	High	100.0	3
43.0	57.0	100	28	29	21	22	0.541	0	Human	Low	100.0	1
46.0	54.0	100	33	21	23	23	0.672	0	Plant	Medium	100.0	2
55.0	45.0	100	18	27	27	28	0.259	1	Bacteria	High	100.0	3
53.0	47.0	100	20	27	25	28	0.61	0	Plant	High	100.0	3
47.0	53.0	100	24	29	24	23	0.373	1	Human	High	100.0	3
42.0	58.0	100	30	28	22	20	0.327	0	Plant	Medium	100.0	2
42.0	58.0	100	26	32	20	22	0.575	1	Plant	High	100.0	3
47.0	53.0	100	31	22	17	30	0.987	0	Virus	High	100.0	3
52.0	48.0	100	18	30	25	27	0.735	1	Virus	Low	100.0	1
55.0	45.0	100	26	19	30	25	0.507	0	Bacteria	Low	100.0	1
43.0	57.0	100	33	24	26	17	0.203	0	Plant	High	100.0	3
59.0	41.0	100	21	20	20	39	0.337	1	Human	High	100.0	3
51.0	49.0	100	25	24	26	25	0.537	0	Human	Low	100.0	1
62.0	38.0	100	15	23	33	29	0.615	0	Virus	Low	100.0	1
46.0	54.0	100	28	26	22	24	0.937	1	Plant	Medium	100.0	2
42.0	58.0	100	25	33	24	18	0.617	0	Virus	Medium	100.0	2
50.0	50.0	100	22	28	29	21	0.393	0	Plant	Low	100.0	1
53.0	47.0	100	19	28	28	25	0.691	1	Bacteria	Medium	100.0	2
61.0	39.0	100	19	20	31	30	0.429	0	Plant	Medium	100.0	2
45.0	55.0	100	30	25	16	29	0.639	1	Human	Medium	100.0	2
48.0	52.0	100	29	23	20	28	0.931	1	Virus	Low	100.0	1
50.0	50.0	100	28	22	24	26	0.779	0	Human	Low	100.0	1
43.0	57.0	100	27	30	17	26	0.239	0	Bacteria	Low	100.0	1
51.0	49.0	100	32	17	27	24	0.25	0	Virus	High	100.0	3
46.0	54.0	100	30	24	22	24	0.462	1	Human	Medium	100.0	2
53.0	47.0	100	21	26	26	27	0.285	1	Bacteria	High	100.0	3
56.0	44.0	100	25	19	25	31	0.78	1	Plant	Low	100.0	1
49.0	51.0	100	21	30	19	30	0.582	0	Virus	Low	100.0	1
45.0	55.0	100	22	33	25	20	0.15	0	Human	High	100.0	3
44.0	56.0	100	32	24	17	27	0.203	0	Plant	Medium	100.0	2
52.0	48.0	100	20	28	20	32	0.554	1	Plant	High	100.0	3
58.0	42.0	100	19	23	33	25	0.812	0	Bacteria	High	100.0	3
50.0	50.0	100	25	25	28	22	0.44	1	Virus	Low	100.0	1
49.0	51.0	100	30	21	25	24	0.128	0	Bacteria	High	100.0	3
52.0	48.0	100	23	25	28	24	0.255	1	Human	Medium	100.0	2
49.0	51.0	100	19	32	20	29	0.502	0	Plant	High	100.0	3
51.0	49.0	100	27	22	27	24	0.801	0	Plant	Low	100.0	1
54.0	46.0	100	24	22	29	25	0.652	0	Human	Low	100.0	1
42.0	58.0	100	29	29	19	23	0.394	1	Bacteria	Low	100.0	1
44.0	56.0	100	33	23	26	18	0.378	0	Plant	High	100.0	3
48.0	52.0	100	34	18	29	19	0.713	1	Human	High	100.0	3
44.0	56.0	100	22	34	23	21	0.11	0	Human	Low	100.0	1
52.0	48.0	100	23	25	27	25	0.863	1	Plant	Low	100.0	1
56.0	44.0	100	24	20	28	28	0.305	1	Plant	Medium	100.0	2
48.0	52.0	100	23	29	22	26	0.15	0	Virus	Low	100.0	1
52.0	48.0	100	24	24	31	21	0.906	1	Virus	Low	100.0	1
43.0	57.0	100	25	32	19	24	0.347	0	Plant	Low	100.0	1
50.0	50.0	100	28	22	29	21	0.141	1	Plant	High	100.0	3
48.0	52.0	100	19	33	30	18	0.3	0	Plant	Low	100.0	1
45.0	55.0	100	26	29	17	28	0.156	0	Virus	Low	100.0	1
53.0	47.0	100	23	24	34	19	0.86	0	Human	Low	100.0	1
46.0	54.0	100	27	27	26	20	0.78	0	Bacteria	Low	100.0	1
48.0	52.0	100	24	28	27	21	0.387	0	Bacteria	High	100.0	3
54.0	46.0	100	21	25	29	25	0.537	1	Plant	High	100.0	3
50.0	50.0	100	21	29	27	23	0.296	0	Virus	High	100.0	3
46.0	54.0	100	28	26	20	26	0.926	1	Human	Low	100.0	1
51.0	49.0	100	22	27	21	30	0.611	0	Bacteria	High	100.0	3
50.0	50.0	100	21	29	22	28	0.395	1	Plant	High	100.0	3
49.0	51.0	100	22	29	20	29	0.303	1	Human	Low	100.0	1
55.0	45.0	100	28	17	28	27	0.401	1	Bacteria	Medium	100.0	2
57.0	43.0	100	25	18	35	22	0.401	0	Plant	Low	100.0	1
54.0	46.0	100	24	22	30	24	0.276	1	Bacteria	High	100.0	3
51.0	49.0	100	23	26	28	23	0.992	1	Human	Low	100.0	1
55.0	45.0	100	22	23	33	22	0.86	0	Plant	Medium	100.0	2
53.0	47.0	100	24	23	33	20	0.878	0	Plant	Medium	100.0	2
43.0	57.0	100	25	32	26	17	0.261	1	Virus	High	100.0	3
51.0	49.0	100	24	25	22	29	0.786	0	Plant	High	100.0	3
51.0	49.0	100	28	21	24	27	0.722	0	Plant	Medium	100.0	2
60.0	40.0	100	16	24	27	33	0.527	1	Human	Low	100.0	1
58.0	42.0	100	23	19	32	26	0.797	0	Plant	High	100.0	3
52.0	48.0	100	22	26	25	27	0.104	0	Bacteria	Low	100.0	1
42.0	58.0	100	24	34	22	20	0.406	0	Plant	High	100.0	3
49.0	51.0	100	30	21	26	23	0.111	0	Bacteria	Low	100.0	1
49.0	51.0	100	19	32	27	22	0.67	0	Plant	Medium	100.0	2
62.0	38.0	100	23	15	30	32	0.252	0	Bacteria	High	100.0	3
48.0	52.0	100	33	19	26	22	0.179	0	Bacteria	High	100.0	3
47.0	53.0	100	29	24	22	25	0.523	0	Human	High	100.0	3
50.0	50.0	100	24	26	24	26	0.612	1	Virus	Medium	100.0	2
48.0	52.0	100	28	24	21	27	0.776	1	Human	High	100.0	3
44.0	56.0	100	26	30	22	22	0.208	0	Virus	Low	100.0	1
53.0	47.0	100	23	24	21	32	0.154	0	Plant	Low	100.0	1
57.0	43.0	100	24	19	27	30	0.91	1	Virus	Medium	100.0	2
56.0	44.0	100	25	19	28	28	0.144	1	Human	Low	100.0	1
51.0	49.0	100	21	28	24	27	0.806	0	Bacteria	Medium	100.0	2
50.0	50.0	100	22	28	24	26	0.507	0	Bacteria	High	100.0	3
